x,y
99.8025,137.664
99.8026,137.721
99.8027,137.779
99.8027,137.835
99.8028,137.892
99.8029,137.948
99.8029,138.005
99.8029,138.061
99.8028,138.117
99.8027,138.172
99.8025,138.228
99.8023,138.284
99.8022,138.339
99.802,138.395
99.8018,138.45
99.8017,138.505
99.8017,138.561
99.8017,138.616
99.8018,138.671
99.8019,138.725
99.8021,138.78
99.8024,138.835
99.8026,138.889
99.8029,138.943
99.8031,138.998
99.8033,139.052
99.8034,139.106
99.8035,139.159
99.8036,139.213
99.8036,139.266
99.8036,139.32
99.8035,139.373
99.8036,139.426
99.8036,139.479
99.8037,139.532
99.8038,139.584
99.804,139.637
99.8042,139.689
99.8043,139.742
99.8044,139.794
99.8045,139.847
99.8044,139.9
99.8042,139.953
99.8039,140.007
99.8034,140.061
99.8027,140.116
99.8019,140.171
99.801,140.227
99.8,140.284
99.7989,140.341
99.7977,140.399
99.7965,140.457
99.7953,140.515
99.7941,140.574
99.7929,140.633
99.7918,140.692
99.7906,140.751
99.7895,140.811
99.7884,140.87
99.7873,140.93
99.7861,140.99
99.7849,141.051
99.7835,141.111
99.7821,141.172
99.7806,141.234
99.779,141.296
99.7773,141.358
99.7756,141.421
99.7738,141.485
99.772,141.55
99.7703,141.615
99.7686,141.681
99.7671,141.747
99.7657,141.814
99.7644,141.881
99.7634,141.949
99.7625,142.016
99.7619,142.084
99.7614,142.151
99.7611,142.219
99.7609,142.286
99.7609,142.352
99.7609,142.419
99.7611,142.485
99.7613,142.55
99.7616,142.616
99.7618,142.681
99.7621,142.746
99.7623,142.811
99.7626,142.876
99.7627,142.941
99.7629,143.006
99.763,143.071
99.7631,143.136
99.7631,143.201
99.7632,143.267
99.7632,143.332
99.7633,143.397
99.7633,143.461
99.7633,143.526
99.7634,143.591
99.7633,143.655
99.7633,143.72
99.7631,143.784
99.7629,143.848
99.7625,143.912
99.7621,143.976
99.7615,144.04
99.7608,144.105
99.7599,144.169
99.7588,144.234
99.7577,144.299
99.7563,144.365
99.7548,144.432
99.7533,144.499
99.7517,144.566
99.75,144.635
99.7484,144.704
99.7468,144.775
99.7453,144.845
99.7439,144.917
99.7427,144.988
99.7417,145.06
99.741,145.133
99.7404,145.205
99.74,145.278
99.7398,145.35
99.7398,145.423
99.7398,145.496
99.74,145.568
99.7401,145.64
99.7403,145.712
99.7404,145.784
99.7405,145.856
99.7406,145.927
99.7405,145.998
99.7404,146.069
99.7402,146.14
99.7399,146.21
99.7396,146.28
99.7391,146.349
99.7387,146.419
99.7382,146.488
99.7377,146.557
99.7372,146.626
99.7368,146.695
99.7365,146.764
99.7362,146.833
99.7361,146.902
99.7361,146.972
99.7362,147.041
99.7364,147.11
99.7367,147.18
99.7371,147.25
99.7376,147.319
99.7381,147.389
99.7387,147.459
99.7392,147.529
99.7398,147.599
99.7403,147.668
99.7408,147.738
99.7413,147.807
99.7418,147.877
99.7422,147.946
99.7426,148.015
99.7431,148.084
99.7435,148.152
99.7439,148.22
99.7444,148.289
99.7448,148.357
99.7452,148.424
99.7456,148.492
99.7459,148.559
99.7461,148.627
99.7463,148.694
99.7463,148.76
99.7463,148.827
99.7461,148.894
99.7459,148.96
99.7456,149.026
99.7453,149.092
99.7449,149.158
99.7446,149.224
99.7443,149.29
99.7441,149.356
99.7439,149.422
99.7438,149.487
99.7437,149.553
99.7438,149.618
99.7438,149.683
99.7439,149.747
99.744,149.812
99.7441,149.876
99.7442,149.939
99.7442,150.003
99.7442,150.066
99.7441,150.129
99.744,150.191
99.7437,150.254
99.7435,150.316
99.7432,150.378
99.7429,150.44
99.7426,150.501
99.7424,150.563
99.7424,150.625
99.7425,150.687
99.7427,150.748
99.7432,150.81
99.7438,150.872
99.7446,150.934
99.7457,150.996
99.7468,151.058
99.748,151.12
99.7493,151.183
99.7505,151.245
99.7517,151.308
99.7527,151.371
99.7537,151.433
99.7545,151.496
99.7552,151.558
99.7558,151.62
99.7562,151.682
99.7566,151.744
99.7568,151.805
99.757,151.867
99.7571,151.928
99.7572,151.989
99.7573,152.049
99.7573,152.11
99.7572,152.17
99.757,152.231
99.7566,152.291
99.756,152.352
99.7551,152.412
99.7539,152.473
99.7524,152.534
99.7505,152.596
99.7484,152.658
99.7461,152.721
99.7437,152.784
99.7412,152.848
99.7388,152.913
99.7365,152.978
99.7344,153.044
99.7325,153.109
99.7309,153.175
99.7296,153.241
99.7286,153.306
99.7278,153.372
99.7272,153.438
99.7269,153.503
99.7267,153.568
99.7267,153.633
99.7268,153.698
99.727,153.762
99.7272,153.826
99.7274,153.89
99.7275,153.953
99.7276,154.017
99.7276,154.08
99.7275,154.142
99.7275,154.205
99.7275,154.268
99.7276,154.331
99.7279,154.393
99.7285,154.456
99.7293,154.519
99.7304,154.582
99.7318,154.646
99.7334,154.71
99.7352,154.774
99.7369,154.838
99.7386,154.902
99.7401,154.966
99.7414,155.03
99.7425,155.094
99.7432,155.158
99.7437,155.221
99.7439,155.284
99.7438,155.346
99.7436,155.408
99.7434,155.47
99.7431,155.532
99.7428,155.593
99.7427,155.655
99.7427,155.716
99.7428,155.778
99.743,155.839
99.7432,155.901
99.7434,155.962
99.7437,156.024
99.7438,156.085
99.7438,156.146
99.7438,156.207
99.7436,156.268
99.7433,156.329
99.743,156.39
99.7428,156.45
99.7426,156.511
99.7425,156.571
99.7425,156.631
99.7427,156.691
99.7431,156.751
99.7436,156.811
99.7443,156.871
99.745,156.931
99.7458,156.99
99.7467,157.049
99.7476,157.109
99.7484,157.168
99.7492,157.227
99.7499,157.286
99.7506,157.345
99.7511,157.404
99.7516,157.463
99.752,157.522
99.7524,157.58
99.7527,157.639
99.753,157.698
99.7532,157.756
99.7533,157.814
99.7534,157.873
99.7533,157.931
99.7531,157.99
99.7527,158.048
99.7521,158.107
99.7514,158.165
99.7504,158.225
99.7493,158.284
99.7479,158.345
99.7464,158.406
99.7447,158.468
99.743,158.53
99.7411,158.594
99.7392,158.659
99.7373,158.726
99.7354,158.793
99.7336,158.861
99.732,158.93
99.7305,159
99.7292,159.071
99.728,159.142
99.7271,159.214
99.7265,159.285
99.726,159.357
99.7258,159.429
99.7258,159.501
99.7259,159.572
99.7261,159.644
99.7264,159.715
99.7268,159.786
99.7273,159.857
99.7277,159.928
