y1,x1,wave_ht,tuning_factor
500,500,3,0.0392558
500,500,3.4,0.0378221
500,500,3.3,0.0326241
500,500,3.1,0.0327117
500,500,2.9,0.0355714
500,500,3,0.0306002
500,500,3.1,0.0325531
500,500,2.8,0.0361953
500,500,2.7,0.0340244
500,500,3.7,0.0240298
500,500,2.7,0.0304076
500,500,2.9,0.0243663
500,500,2.7,0.0174783
500,500,3.3,0.0130659
500,500,3.1,0.0176757
500,500,3.1,0.0212977
500,500,3.2,0.0183931
500,500,3.7,0.0171836
500,500,2.8,0.0221802
500,500,3.3,0.0211893
500,500,3.3,0.0178651
500,500,2.7,0.0184551
500,500,3.3,0.0148757
500,500,3.5,0.0137069
500,500,3.2,0.0122318
500,500,4.3,0.0103186
500,500,3.3,0.0150411
500,500,2.8,0.0149372
500,500,3,0.0138154
500,500,3.2,0.0150425
500,500,3,0.0171593
500,500,2.9,0.0191817
500,500,3.2,0.0232043
500,500,3.5,0.0272031
500,500,3.3,0.032008
500,500,3.2,0.0339414
500,500,2.9,0.0408017
500,500,2.9,0.0407868
500,500,2.5,0.0432167
500,500,2.9,0.0326576
500,500,3.8,0.0316946
500,500,3,0.0379638
500,500,3.2,0.0391813
500,500,3.3,0.0376956
500,500,3.3,0.0389475
500,500,3.2,0.0396586
500,500,3.1,0.0349218
500,500,2.6,0.041465
500,500,3.6,0.0364678
500,500,3.1,0.0338358
500,500,3.1,0.031338
500,500,3.3,0.029211
500,500,3,0.0254434
500,500,3.2,0.0254434
500,500,3.4,0.0223603
500,500,3.3,0.020045
500,500,3.4,0.0186599
500,500,3.4,0.0211631
500,500,3.3,0.0207818
500,500,2.9,0.0257489
500,500,3.4,0.0337272
500,500,3.9,0.0357476
500,500,2.9,0.0408327
500,500,3.1,0.0267257
500,500,3.4,0.0270872
500,500,3.4,0.025457
500,500,2.9,0.025457
500,500,3.4,0.0186394
500,500,3.2,0.0204172
500,500,3.5,0.0202626
500,500,2.7,0.0221608
500,500,2.7,0.0235352
500,500,2.9,0.0271913
500,500,3,0.0266
500,500,3.6,0.0229542
500,500,3.4,0.0220684
500,500,2.5,0.0295674
500,500,3.5,0.0254351
500,500,3.5,0.0254351
500,500,3.2,0.0295952
500,500,3.4,0.0400803
500,500,3,0.0428604
500,500,3.1,0.0254724
500,500,3.4,0.0217005
500,500,2.8,0.018622
500,500,3.4,0.0174023
500,500,3.5,0.016929
500,500,4,0.0143336
500,500,3.7,0.025846
500,500,3.2,0.0347131
500,500,3.6,0.0198712
500,500,3.5,0.0208226
500,500,3.3,0.0251578
500,500,3.3,0.0271448
500,500,3.6,0.0235911
500,500,3.1,0.0302413
500,500,3.3,0.0343311
500,500,3.3,0.0362125
500,500,3.4,0.0396272
500,500,3.6,0.0354498
500,500,3.5,0.0394686
500,500,3.5,0.0359471
500,500,3.4,0.0394678
500,500,3.5,0.0370967
500,500,3.8,0.034514
500,500,3.1,0.0366608
500,500,3.6,0.0339847
500,500,4.2,0.0330877
500,500,2.3,0.0348946
500,500,2.1,0.0286115
500,500,2.3,0.0290936
500,500,2.3,0.0309197
500,500,2.5,0.0220847
500,500,2,0.0220871
500,500,2.1,0.0224394
500,500,1.9,0.027351
500,500,2.6,0.0271786
500,500,2.1,0.0293607
500,500,2.2,0.0310058
500,500,2.2,0.0416554
500,500,2,0.0454524
500,500,2,0.0444966
500,500,2.1,0.0415529
500,500,2.9,0.0271136
500,500,3.6,0.0231686
500,500,3.2,0.0267463
500,500,3,0.0324653
