Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-12-09 10:00:00, 36.7599, -121.9486,  0.8, 255,  5.4, 10.7
2011-12-09 10:30:00, 36.7596, -121.9479,  1.1, 295,  7.6, 12.8
2011-12-09 11:00:01, 36.7592, -121.9468,  0.9, 305,  5.3,  9.1
2011-12-09 11:30:00, 36.7596, -121.9460,  1.0, 276,  5.2, 12.8
2011-12-09 12:00:00, 36.7600, -121.9454,  1.0, 252,  6.5, 11.6
2011-12-09 12:30:00, 36.7601, -121.9450,  1.0, 268,  4.9, 12.8
2011-12-09 13:00:00, 36.7604, -121.9451,  1.0, 267,  5.2, 12.8
2011-12-09 13:30:00, 36.7608, -121.9450,  0.9, 268,  4.0, 12.8
2011-12-09 14:00:00, 36.7608, -121.9450,  1.0, 259,  4.9, 12.8
2011-12-09 14:30:00, 36.7613, -121.9452,  1.2, 300,  5.1, 12.8
2011-12-09 15:00:00, 36.7615, -121.9450,  0.9, 163,  4.1, 12.8
2011-12-09 15:30:00, 36.7614, -121.9451,  1.1, 240,  4.6, 11.6
2011-12-09 16:00:00, 36.7619, -121.9451,  1.1, 205,  5.5, 21.3
2011-12-09 16:30:00, 36.7621, -121.9452,  1.0, 294,  4.9, 21.3
2011-12-09 17:00:00, 36.7623, -121.9457,  1.1, 283,  4.8, 12.8
2011-12-09 17:30:00, 36.7625, -121.9462,  0.9, 282,  5.1, 12.8
2011-12-09 18:00:00, 36.7627, -121.9469,  1.1, 278,  5.5, 21.3
2011-12-09 18:30:00, 36.7623, -121.9482,  1.1, 324,  5.8, 21.3
2011-12-09 19:00:00, 36.7608, -121.9490,  1.3, 308,  9.6, 21.3
2011-12-09 19:30:00, 36.7593, -121.9472,  1.2, 313,  7.6, 21.3
2011-12-09 20:00:00, 36.7604, -121.9449,  1.0, 270,  7.6, 12.8
2011-12-09 20:30:00, 36.7628, -121.9469,  1.2, 273,  8.6, 21.3
2011-12-09 21:00:00, 36.7593, -121.9473,  1.4, 288, 11.3, 21.3
2011-12-09 21:30:00, 36.7619, -121.9450,  1.0, 281,  8.3, 21.3
2011-12-09 22:00:00, 36.7596, -121.9480,  1.0, 320,  8.2, 21.3
