t1,t2,y1,x1,y2,x2, Wave Height(meters),delta_t(sec),delta_d(m),avg_speed(m/s)
2012-01-30 11:00:00,2012-01-30 11:30:00,27.9811,-145.9015,27.9769,-145.9095,2.5,1800,914.373183803519,0.507985102113066
2012-01-30 16:00:00,2012-01-30 16:30:00,27.9333,-145.9917,27.9293,-145.9994,2,1800,877.982022823322,0.487767790457401
2012-01-30 17:00:00,2012-01-30 17:30:00,27.9248,-146.0077,27.9207,-146.0154,2.3,1800,883.679629509511,0.490933127505284
2012-01-31 00:00:00,2012-01-31 00:30:00,27.8604,-146.1288,27.8568,-146.1361,2.2,1800,822.242140571647,0.456801189206471
2012-01-31 00:30:00,2012-01-31 01:00:00,27.8568,-146.1361,27.853,-146.1431,2.45,1800,807.883105025345,0.448823947236303
2012-01-31 01:00:00,2012-01-31 01:30:00,27.853,-146.1431,27.8493,-146.15,2.6,1800,793.733008919164,0.440962782732869
2012-01-31 03:00:00,2012-01-31 03:30:00,27.8363,-146.1746,27.8323,-146.1818,2.5,1800,836.40427721725,0.464669042898472
2012-01-31 03:30:00,2012-01-31 04:00:00,27.8323,-146.1818,27.8285,-146.189,2.85,1800,824.894250370352,0.458274583539084
2012-01-31 04:00:00,2012-01-31 04:30:00,27.8285,-146.189,27.825,-146.1957,2.95,1800,765.593742365371,0.42532985686965
2012-01-31 04:30:00,2012-01-31 05:00:00,27.825,-146.1957,27.8216,-146.2022,2.85,1800,743.009051890337,0.412782806605743
2012-01-31 05:00:00,2012-01-31 05:30:00,27.8216,-146.2022,27.8181,-146.2088,3,1800,757.151266153659,0.420639592307588
2012-01-31 05:30:00,2012-01-31 06:00:00,27.8181,-146.2088,27.8142,-146.2159,2.7,1800,822.286343066192,0.456825746147885
2012-01-31 06:00:00,2012-01-31 06:30:00,27.8142,-146.2159,27.8104,-146.2232,2.5,1800,833.482952909938,0.463046084949966
2012-01-31 06:30:00,2012-01-31 07:00:00,27.8104,-146.2232,27.8067,-146.2306,2.85,1800,836.535395010066,0.464741886116703
2012-01-31 07:00:00,2012-01-31 07:30:00,27.8067,-146.2306,27.8027,-146.2377,3.15,1800,828.225965827806,0.460125536571003
2012-01-31 07:30:00,2012-01-31 08:00:00,27.8027,-146.2377,27.7988,-146.2449,3.25,1800,830.769610440931,0.461538672467184
