y1,x1,wave_ht,tuning_factor
21.7535,-155.101,2.85,0.0916331
21.6672,-155.15,2.7,0.0664833
21.5858,-155.196,2.5,0.0826374
21.3415,-155.218,2.6,0.0514754
21.3348,-155.218,2.45,0.0580123
21.3279,-155.219,2.6,0.0775582
21.3207,-155.219,2.5,0.0521813
21.2733,-155.223,3.15,0.0863488
21.2665,-155.223,3.3,0.0517512
21.2598,-155.224,3.5,0.0669948
21.2468,-155.224,3.3,0.0526967
21.2395,-155.225,3.2,0.0541035
21.2324,-155.226,3.15,0.0541186
21.0507,-155.238,3.65,0.101796
21.0381,-155.239,3.7,0.0821846
21.032,-155.244,3.65,0.0693611
20.9812,-155.243,4,0.068437
20.9743,-155.243,3.75,0.0749389
20.9666,-155.244,3.4,0.109681
20.9584,-155.244,3.2,0.0643937
20.951,-155.245,3.95,0.065657
20.9441,-155.245,4.15,0.0578763
20.1227,-155.986,1.85,0.0851564
20.1292,-155.989,1.65,0.066908
20.1357,-155.993,1.75,0.0688241
20.1526,-156,2.2,0.0819863
20.1579,-156.004,2.2,0.0905073
20.1639,-156.009,2.05,0.0897221
20.1737,-156.024,2.25,0.093238
20.2324,-156.194,2.6,0.082046
20.1992,-156.215,2.4,0.0619453
20.1915,-156.213,2.7,0.0920867
20.1834,-156.213,2.7,0.0681465
20.1479,-156.21,2.45,0.095417
20.1397,-156.209,2.4,0.0833482
20.1324,-156.207,2.45,0.0927217
20.1267,-156.202,2.45,0.0578826
20.1211,-156.197,2.55,0.0766559
20.1161,-156.193,2.55,0.0595385
20.1097,-156.189,2.4,0.0819384
20.1032,-156.186,2.3,0.0710739
20.0972,-156.183,2.3,0.0914789
20.019,-156.068,1.6,0.0695349
20.0157,-156.062,1.6,0.067466
20.0126,-156.055,1.45,0.0818792
19.9902,-155.991,1.3,0.0818792
19.9829,-155.979,0.95,0.0818792
19.9639,-155.977,0.75,0.0913193
19.9576,-155.975,0.75,0.0767674
19.9513,-155.973,0.75,0.124509
19.9445,-155.97,0.75,0.0913914
19.9384,-155.968,0.75,0.107451
19.9329,-155.964,0.7,0.12664
19.9034,-155.942,0.6,0.0821406
19.9121,-155.93,0.5,1.10359
19.9192,-155.928,0.5,1.25407
19.9863,-155.889,0.55,3.05233
19.9902,-155.898,0.45,0.159092
19.9894,-155.894,0.55,0.0748076
19.9804,-155.893,0.5,3.56247
19.9822,-155.9,0.55,0.0695027
19.9805,-155.896,0.7,0.0732284
19.969,-155.922,0.8,0.0815599
19.964,-155.928,0.8,0.125667
19.959,-155.934,0.85,0.0890757
19.959,-155.943,0.85,0.0997298
19.968,-155.938,0.85,0.064642
19.9607,-155.943,0.85,0.0888399
19.9679,-155.94,0.8,0.105418
19.9627,-155.933,0.8,0.135404
19.9662,-155.933,0.85,0.0997206
19.959,-155.935,0.9,0.0807251
19.96,-155.943,0.7,0.0829466
19.9679,-155.941,0.7,0.524899
19.9669,-155.933,0.7,0.200071
19.9591,-155.936,0.8,0.101043
19.963,-155.943,0.85,0.108793
19.968,-155.937,0.75,0.100703
19.9615,-155.933,0.75,0.128573
19.9669,-155.933,0.75,0.105801
19.9622,-155.943,0.75,0.0886562
19.9679,-155.939,0.65,0.0821027
19.9641,-155.933,0.6,0.0718171
19.9639,-155.933,0.6,0.189131
19.959,-155.939,0.65,0.164946
19.9651,-155.943,0.75,0.0801335
19.9601,-155.933,0.85,0.0906569
19.9651,-155.943,0.65,0.100887
19.9681,-155.935,0.6,1.26994
19.9627,-155.943,0.75,0.252253
19.9653,-155.943,0.55,0.1621
19.959,-155.934,0.55,0.630376
19.9594,-155.943,0.6,0.0954433
19.9668,-155.943,0.55,2.19949
19.9589,-155.935,0.55,0.960711
19.9681,-155.94,0.7,0.0771913
19.9589,-155.943,0.8,0.120739
19.9671,-155.943,0.85,0.0736592
19.9679,-155.939,0.85,0.0726765
19.9594,-155.943,0.8,0.67367
19.9589,-155.941,0.55,1.41887
19.9681,-155.937,0.7,0.0887774
